Subject,Overall Frequency,Article-de,Article-en,Book-de,Book-en,Conference-de,Conference-en,Report-de,Report-en,Thesis-de,Thesis-en
Literatur,1086,0,0,380,484,50,44,4,15,76,33
Architektur,1004,0,0,264,531,65,52,19,14,45,14
Unternehmen,899,0,0,635,98,10,8,21,3,116,8
Nachhaltigkeit,861,0,0,315,382,18,43,18,13,53,19
Deutsch,758,0,0,454,63,60,18,15,0,125,23
Kind,620,0,0,417,89,22,5,19,2,55,11
Digitalisierung,549,1,0,354,80,35,8,7,1,54,9
Politik,529,0,0,257,166,27,17,7,15,34,6
Englisch,516,0,0,65,370,3,23,2,14,13,26
Kultur,504,0,0,282,116,34,18,14,9,24,7
Philosophie,494,1,0,279,127,21,14,15,6,27,4
Globalisierung,482,0,0,176,194,15,34,6,14,32,11
Management,475,0,0,315,108,6,7,8,5,24,2
Gesellschaft,471,0,0,260,125,29,15,7,3,28,4
Jugend,443,0,0,301,34,16,1,12,2,72,5
Statistik,427,0,0,181,191,0,25,19,3,2,6
Stadtplanung,425,0,0,69,279,17,19,6,14,12,9
Soziologie,417,0,0,278,80,11,0,15,4,26,3
Rezeption,410,0,0,125,128,47,18,1,4,67,20
Frau,404,0,0,173,137,16,6,11,9,36,16
Maschinelles Lernen,393,0,1,28,209,0,116,0,3,19,17
Künstliche Intelligenz,382,1,1,112,148,3,77,7,8,12,13
Strategisches Management,378,0,0,260,52,6,2,0,3,51,4
Islam,378,0,0,174,110,28,12,7,9,27,11
Religion,377,0,0,143,138,30,19,6,12,20,9
Mathematik,372,0,2,214,94,2,22,24,5,8,1
Wirtschaft,358,0,65,119,138,13,6,2,4,8,3
Demokratie,356,0,0,212,71,20,7,4,3,26,13
Wirtschaftspolitik,354,0,73,100,142,6,11,2,3,12,5
Internet,345,0,0,156,74,12,27,15,4,52,5
Recht,338,0,18,171,57,28,9,7,0,42,6
Wirtschaftsentwicklung,338,0,38,81,175,13,10,1,8,7,5
Klimaänderung,332,0,6,90,156,2,20,6,9,25,18
Kommunikation,329,0,0,176,61,19,6,3,4,50,10
Stadtentwicklung,321,0,0,92,158,21,9,6,5,24,6
Schule,291,0,0,193,40,7,2,11,2,31,5
Marketing,290,0,6,206,45,10,0,5,1,16,1
Datenanalyse,289,0,0,84,130,1,43,4,2,9,16
Film,288,0,0,101,115,13,10,6,6,30,7
Neue Medien,281,0,0,133,81,25,7,3,5,26,1
Ethik,279,0,0,157,62,24,5,3,3,23,2
Führung,278,0,0,229,28,0,1,3,1,15,1
Stadt,277,0,0,89,135,9,13,4,3,15,9
Physik,274,0,0,130,122,1,10,6,0,4,1
Sozialer Wandel,274,0,0,149,59,10,10,3,13,26,4
Kunst,272,0,0,113,66,49,20,0,6,17,1
Informationstechnik,271,0,0,136,85,7,9,9,8,13,4
Sozialarbeit,270,0,0,215,7,19,0,12,0,17,0
Migration,269,0,13,100,74,25,8,3,3,32,11
Internationaler Vergleich,269,0,0,83,145,5,8,1,4,22,1
Theorie,256,0,16,132,63,6,3,4,3,26,3
Zukunft,256,1,57,140,26,18,2,6,1,5,0
Nationalsozialismus,255,0,0,138,36,24,8,6,1,38,4
Hochschule,253,0,0,138,30,34,1,2,0,44,4
Computersicherheit,249,0,1,60,134,2,29,4,10,6,3
Geschichte,246,0,0,131,78,9,4,5,5,12,2
Psychologie,243,0,0,173,45,7,2,7,2,6,1
Projektmanagement,241,0,0,158,56,0,2,7,3,13,2
Innovationsmanagement,239,0,0,158,36,5,2,7,0,28,3
Mathematisches Modell,235,0,0,19,164,0,26,0,8,11,7
Massenmedien,234,0,0,113,61,9,3,3,4,38,3
Data Mining,230,0,0,13,113,1,87,1,4,7,4
Soziale Ungleichheit,229,0,0,130,36,19,2,3,0,36,3
Außenpolitik,224,0,0,106,57,8,2,7,3,30,11
Juden,224,0,0,119,53,18,8,3,4,15,4
Wirtschaftswissenschaften,221,0,125,30,56,3,3,1,0,1,2
