Record Type					Language	Count
Article                     de          18
Article                     en          2943
Article                     fr          454
AudioVisualDocument         de          151
AudioVisualDocument         en          24
AudioVisualDocument         es          2
Book                        de          123818
Book                        en          268315
Book                        fr          15271
Book                        es          4419
Book                        af          23
Book                        ca          126
Book                        cs          33
Book                        da          23
Book                        et          8
Book                        he          1
Book                        hr          27
Book                        id          7
Book                        it          1084
Book                        ko          19
Book                        lv          8
Book                        nl          518
Book                        no          215
Book                        pt          1718
Book                        ro          12
Book                        sk          7
Book                        sl          427
Book                        so          176
Book                        sv          28
Book                        sw          1
Book                        tl          1
Book                        tr          40
Book                        ar          22
Book                        bg          2
Book                        cy          1
Book                        el          17
Book                        fi          35
Book                        hi          3
Book                        hu          5
Book                        ja          23
Book                        lt          13
Book                        None        2
Book                        pl          10
Book                        ru          36
Book                        uk          3
Book                        vi          2
Book                        zh-cn       4
Chapter                     de          1
Chapter                     en          5
Collection                  de          276
Collection                  en          43
Collection                  fr          1
Conference                  de          5118
Conference                  en          14604
Conference                  fr          101
Conference                  es          32
Conference                  ca          1
Conference                  it          15
Conference                  nl          10
Conference                  no          1
Conference                  pt          2
Conference                  pl          1
Periodical                  de          128
Periodical                  en          116
Periodical                  fr          5
Periodical                  es          12
Periodical                  ca          2
Periodical                  it          2
Periodical                  no          1
Periodical                  pt          7
Periodical                  ro          1
Periodical                  tl          1
Periodical                  zh-cn       22
Report                      de          4865
Report                      en          8453
Report                      fr          40
Report                      es          8
Report                      ca          16
Report                      da          1
Report                      it          41
Report                      nl          1
Report                      no          1
Report                      ro          7
Report                      sv          1
Report                      fi          1
Report                      ru          1
Thesis                      de          26231
Thesis                      en          17291
Thesis                      fr          64
Thesis                      es          48
Thesis                      af          4
Thesis                      ca          35
Thesis                      da          29
Thesis                      et          11
Thesis                      he          2
Thesis                      id          3
Thesis                      it          131
Thesis                      nl          20
Thesis                      no          9
Thesis                      pt          7
Thesis                      ro          22
Thesis                      sv          23
Thesis                      cy          1
Thesis                      fi          3
Thesis                      pl          5
