Subject,Overall Frequency,Article-de,Article-en,Book-de,Book-en,Conference-de,Conference-en,Report-de,Report-en,Thesis-de,Thesis-en
Literatur,1149,0,0,398,510,56,52,3,16,85,29
Architektur,1005,0,0,275,523,60,48,16,18,53,12
Unternehmen,919,0,0,624,115,17,7,15,5,131,5
Nachhaltigkeit,866,0,0,338,368,21,39,17,9,59,15
Deutsch,753,0,0,475,52,51,15,20,1,115,24
Kind,610,0,0,418,79,19,8,20,2,54,10
Digitalisierung,576,1,0,374,94,28,11,9,1,51,7
Englisch,542,0,0,76,381,5,18,0,13,15,34
Politik,535,0,0,251,178,23,16,7,12,40,8
Kultur,510,0,0,297,118,30,22,11,7,19,6
Management,486,0,0,322,114,8,8,6,2,23,3
Gesellschaft,476,0,0,263,118,27,15,9,9,28,7
Philosophie,476,1,0,272,126,19,13,8,3,31,3
Globalisierung,476,0,0,167,195,25,30,8,15,29,7
Jugend,430,0,0,289,33,16,0,13,2,72,5
Rezeption,428,0,0,127,123,44,17,1,6,87,23
Stadtplanung,425,0,0,86,259,21,19,5,14,11,10
Frau,423,0,0,192,143,18,7,14,9,30,10
Künstliche Intelligenz,418,1,1,135,164,6,72,3,11,14,11
Maschinelles Lernen,405,0,2,33,214,0,118,0,3,22,13
Soziologie,404,0,0,249,85,12,0,11,7,34,6
Strategisches Management,399,0,0,283,52,9,1,2,3,49,0
Statistik,398,0,0,166,173,1,26,16,5,3,8
Demokratie,394,0,0,212,86,26,8,7,3,38,14
Islam,392,0,0,180,108,31,11,8,13,27,14
Religion,381,0,0,157,129,34,21,5,12,14,9
Wirtschaftspolitik,375,0,88,101,141,12,14,2,7,8,2
Mathematik,365,0,1,212,106,2,16,21,4,3,0
Stadtentwicklung,345,0,0,101,169,14,11,6,5,28,11
Internet,342,0,0,151,84,11,25,17,6,44,4
Kommunikation,337,0,0,180,55,19,4,4,3,62,10
Wirtschaft,337,0,66,101,133,11,7,4,2,10,3
Recht,332,0,10,166,60,22,10,9,1,45,9
Klimaänderung,331,0,6,86,154,1,20,6,7,27,24
Wirtschaftsentwicklung,319,0,28,73,173,9,16,2,6,8,4
Stadt,307,0,0,104,135,14,15,3,4,15,17
Marketing,297,0,6,211,42,12,0,5,0,21,0
Internationaler Vergleich,294,0,0,87,151,7,14,3,5,24,3
Neue Medien,290,0,0,139,92,18,9,2,3,27,0
Ethik,289,0,0,165,65,15,5,4,6,26,3
Führung,284,0,0,239,22,2,1,4,2,13,1
Datenanalyse,284,0,0,76,139,1,34,3,2,11,18
Migration,281,0,13,109,72,22,12,3,1,34,15
Theorie,277,0,22,143,61,6,5,5,2,30,3
Kunst,275,0,0,119,69,47,13,1,4,17,5
Schule,275,0,0,185,33,6,2,9,1,35,4
Computersicherheit,271,0,1,55,144,3,43,3,11,7,4
Sozialarbeit,270,0,0,210,5,15,1,10,0,29,0
Hochschule,267,0,0,132,43,36,2,4,0,47,3
Zukunft,265,1,55,157,26,10,3,9,1,2,1
Nationalsozialismus,265,0,0,160,29,26,5,5,1,36,3
Film,262,0,0,93,103,15,10,6,6,23,6
Physik,260,0,0,118,122,1,9,4,3,3,0
Sozialer Wandel,257,0,0,141,60,12,5,4,9,21,5
Innovationsmanagement,255,0,0,164,41,6,1,6,0,32,5
Informationstechnik,254,0,0,123,82,6,11,7,11,11,3
Psychologie,245,0,0,167,55,7,2,6,3,4,1
Alltag,244,0,0,151,30,7,1,13,2,37,3
Projektmanagement,242,0,0,172,47,0,2,5,2,11,3
Mathematisches Modell,241,0,0,17,189,0,20,0,3,6,6
Data Mining,238,0,0,13,122,1,84,0,7,6,5
Außenpolitik,238,0,0,133,52,5,3,6,4,27,8
Geschichte,238,0,0,130,69,12,4,5,2,14,2
Kollektives Gedächtnis,236,0,0,84,73,25,17,0,2,29,6
Pädagogik,226,0,0,165,24,15,0,4,0,18,0
Klein- und Mittelbetrieb,226,0,0,136,41,0,6,5,0,32,6
Juden,224,0,0,121,48,13,11,4,4,19,4
Massenmedien,222,0,0,105,60,11,2,3,6,32,3
Christentum,221,0,0,126,41,25,7,1,5,12,4
Computersimulation,218,0,28,12,87,0,17,1,4,25,44
Methode,218,0,0,112,81,2,2,5,2,12,2
Innovation,217,0,1,67,90,4,2,2,5,39,7
Soziale Ungleichheit,217,0,0,121,38,18,3,1,0,33,3
Sozialwissenschaften,216,0,0,98,93,5,7,2,3,8,0
Wirtschaftswissenschaften,211,0,118,27,54,3,2,3,1,1,2
Rechtsvergleich,209,0,0,27,11,10,3,0,0,138,20
Internationale Politik,209,0,0,67,104,2,6,2,6,18,4
Wirtschaftstheorie,209,0,80,47,60,5,4,2,3,7,1
Geschlechterrolle,207,0,0,96,64,9,5,4,7,20,2
Controlling,204,0,0,160,5,3,0,4,0,30,2
Big Data,203,0,0,36,115,3,30,2,2,9,6
Electronic Commerce,202,0,0,108,38,5,21,7,3,16,4
Forschung,201,0,0,83,64,19,3,1,2,26,3
Grundschule,201,0,0,133,8,7,0,8,0,44,1
Softwareentwicklung,200,0,0,63,72,0,41,4,6,10,4
Städtebau,198,0,0,74,81,12,9,4,4,12,2
Menschenrecht,196,0,0,54,67,13,14,2,4,31,11
Entwicklung,193,0,26,97,39,7,5,4,0,10,5
Personalpolitik,193,0,0,146,28,1,1,1,0,15,1
Verbraucherverhalten,192,0,0,87,37,2,4,4,2,49,7
Staat,192,0,0,87,46,13,7,4,2,26,7
Social Media,189,0,0,77,63,4,11,0,1,28,5
Prävention,189,0,0,107,33,8,3,5,1,32,0
Markenpolitik,187,0,0,124,15,3,0,3,0,40,2
Erneuerbare Energien,187,2,0,74,58,7,11,8,4,17,6
Führungskraft,186,0,0,146,7,1,0,4,0,26,2
Arbeitsmarkt,186,0,19,50,72,1,7,3,4,21,9
Gewalt,185,0,0,76,53,13,6,2,5,24,6
Umweltpolitik,184,0,20,52,87,1,11,1,6,4,2
Drittes Reich,182,0,0,120,17,19,3,2,0,20,1
Ästhetik,181,0,0,79,53,7,3,0,3,34,2
Programmierung,181,0,0,71,88,0,15,4,1,0,2
Schüler,180,0,0,116,13,2,0,1,1,43,4
Informatik,180,0,0,57,103,1,12,2,1,2,2
Mathematikunterricht,179,0,0,94,32,2,1,1,0,48,1
Europäische Integration,177,0,0,84,34,21,3,4,3,23,5
Bildverarbeitung,177,0,0,20,78,12,45,1,7,7,7
Python,176,0,0,36,135,0,0,4,0,1,0
Gesundheitswesen,176,0,0,81,59,7,8,4,0,14,3
Design,175,0,0,69,75,9,6,3,1,12,0
Familie,175,0,0,106,30,1,2,4,3,24,5
Risikomanagement,174,0,0,67,64,2,3,1,0,30,7
Datenschutz,174,0,0,53,42,10,10,3,0,49,7
Theologie,169,0,0,110,17,16,3,2,2,14,5
Mensch-Maschine-Kommunikation,168,0,2,27,47,3,58,1,7,14,9
Numerisches Verfahren,168,0,0,25,92,0,25,0,4,11,11
Wissenschaft,168,0,0,82,46,10,8,1,3,15,3
Judenvernichtung,168,0,0,80,42,7,7,8,1,18,5
Medien,166,0,0,93,28,12,5,8,2,15,3
Lehrer,165,0,0,93,18,2,1,3,1,46,1
Organisation,164,0,0,92,38,3,2,3,2,22,2
Gefühl,164,0,0,68,48,7,10,5,0,21,5
Optimierung,163,0,0,24,84,0,33,2,2,6,12
Modellierung,163,0,0,20,69,1,6,1,2,36,28
Bildung,163,0,0,89,24,10,9,3,0,25,3
Internet der Dinge,162,0,1,12,120,0,26,0,0,2,1
Kapitalismus,162,0,0,89,53,1,2,4,4,7,2
Wissensmanagement,162,0,0,71,44,0,12,2,9,22,2
Methodologie,162,0,61,34,49,3,1,1,10,2,1
Cloud Computing,161,0,0,17,106,1,21,4,0,10,2
Regulierung,160,0,0,32,62,5,11,2,0,39,9
Kryptologie,159,0,0,28,48,0,70,3,1,4,5
Psychoanalyse,159,0,0,118,11,12,3,7,0,7,1
Kolonialismus,158,0,0,44,76,7,7,0,3,15,6
Informationsgesellschaft,158,0,0,91,34,10,2,4,5,12,0
Nanostrukturiertes Material,157,0,0,5,109,0,14,0,4,15,10
Armut,157,0,0,71,49,4,6,4,2,15,6
Sozialpolitik,157,0,0,74,50,6,6,2,1,14,4
Soziale Integration,156,0,0,87,23,11,1,5,1,23,5
Judentum,156,0,0,81,33,15,10,1,0,11,5
Sprache,156,0,0,63,66,7,3,3,1,10,3
Feminismus,155,0,0,70,59,4,1,2,5,11,3
Quantenmechanik,154,0,0,28,114,0,6,2,1,0,3
Moderne,154,0,0,75,45,11,3,0,4,14,2
Analysis,153,0,0,96,44,0,7,5,0,0,1
Roman,153,0,0,29,81,1,1,2,5,25,9
Qualitätsmanagement,151,0,0,106,17,1,4,3,0,17,3
Rechtsradikalismus,151,0,0,109,19,8,1,2,0,10,2
Naturwissenschaften,151,0,0,66,63,7,5,1,3,6,0
Supply Chain Management,150,0,0,70,50,9,2,2,1,12,4
Algorithmus,149,0,0,41,61,2,24,0,2,12,7
Prozessmanagement,148,0,0,96,20,4,11,1,0,11,5
Datensicherung,146,0,1,50,36,4,43,6,0,3,3
Politisches System,146,0,0,106,23,1,1,3,2,9,1
Umweltschutz,145,0,0,59,55,5,7,3,4,8,4
Geschlechterforschung,145,0,0,82,26,16,0,0,3,15,3
Finite-Elemente-Methode,145,0,3,26,69,0,5,0,2,21,19
Strömungsmechanik,144,0,0,47,72,0,10,2,6,6,1
Identität,144,0,0,51,41,12,1,0,4,30,5
Religionsunterricht,143,0,0,112,4,8,0,8,0,10,1
Lehrbuch,143,0,0,111,31,0,0,1,0,0,0
Thermodynamik,143,0,0,71,53,0,2,4,4,3,6
Landwirtschaft,142,0,38,25,56,2,7,2,3,5,4
Partielle Differentialgleichung,142,0,0,8,101,0,27,1,2,0,3
Begriff,142,0,0,80,5,9,1,2,0,43,2
Dynamisches System,142,0,0,11,98,0,25,0,2,3,3
R,142,0,0,32,103,0,2,4,1,0,0
Unterricht,141,0,0,93,20,4,1,6,0,15,2
Finanzierung,140,0,0,79,33,0,6,2,0,18,2
Weltwirtschaft,140,0,29,37,59,2,6,1,3,3,0
Geschichtsschreibung,139,0,0,36,61,8,13,0,3,14,4
Logistik,139,0,0,91,26,5,0,1,0,13,3
Reform,139,0,0,67,30,8,4,3,2,24,1
Personalentwicklung,139,0,0,108,15,1,0,4,0,11,0
Interaktion,138,0,19,41,25,5,1,4,1,32,10
Wirtschaftswachstum,138,0,0,23,90,0,8,2,1,9,5
Vergangenheitsbewältigung,136,0,0,87,12,16,1,3,0,16,1
Lineare Algebra,135,0,0,83,46,0,0,4,0,2,0
Soziales Netzwerk,134,0,0,45,43,5,4,2,2,26,7
Mitgliedsstaaten,134,0,0,22,52,10,8,1,3,30,8
Kritik,133,0,0,95,13,3,0,6,1,15,0
Deutschunterricht,132,0,0,98,1,5,0,10,0,18,0
Psychotherapie,132,0,0,115,5,3,0,1,0,7,1
Empirische Sozialforschung,132,0,0,83,33,1,0,5,2,7,1
Strafrecht,131,0,0,73,5,9,3,2,1,33,5
Lehrerbildung,131,0,0,72,11,11,1,1,0,33,2
Unternehmensgründung,131,0,0,82,19,0,1,2,0,24,3
Krise,130,0,0,87,17,11,5,2,0,6,2
Rassismus,129,0,0,68,36,3,1,1,1,16,3
Steuerrecht,128,0,0,80,27,4,0,0,0,13,4
Multinationales Unternehmen,128,0,0,29,51,1,6,1,4,34,2
Politische Philosophie,128,0,0,74,27,4,3,1,1,18,0
Erwachsenenbildung,128,0,0,68,30,4,1,5,0,17,3
Visualisierung,127,0,0,44,55,1,9,8,0,8,2
Alter,126,0,0,81,14,5,1,1,0,19,5
Erfolgsfaktor,126,0,0,82,6,1,0,2,0,33,2
E-Learning,126,0,0,48,29,8,15,6,4,11,5
Flüchtling,125,0,0,64,30,3,1,7,1,16,3
MATLAB,124,0,0,24,91,0,0,2,1,4,2
Wissenschaftliches Arbeiten,123,0,0,99,18,1,0,4,0,0,1
Systemtheorie,123,0,1,63,19,3,10,0,1,24,2
Umweltökonomie,122,0,32,16,62,0,4,0,0,3,5
Ökonometrie,122,0,75,7,33,0,2,0,2,1,2
Innenarchitektur,122,0,0,51,57,2,1,8,3,0,0
Experiment,122,0,61,19,26,1,1,3,0,10,1
Biotechnologie,122,0,0,22,75,1,8,0,6,4,6
Kreditmarkt,121,0,55,16,35,1,4,0,0,9,1
Spieltheorie,121,0,39,15,44,0,9,3,5,4,2
Bevölkerungsentwicklung,121,0,11,54,18,8,1,5,2,17,5
Verwaltung,121,0,0,55,31,9,3,1,0,20,2
Bildungspolitik,121,0,0,58,30,8,0,5,0,18,2
Schwarze,121,0,0,14,93,2,0,0,6,1,5
Lernen,121,0,0,74,22,2,2,5,0,12,4
Inklusion,121,0,0,74,12,11,0,3,0,18,3
Produktentwicklung,119,0,0,65,25,3,2,1,1,19,3
Integration,119,0,0,55,37,4,3,0,0,17,3
Rechnernetz,119,0,0,36,57,1,18,2,2,3,0
Geschäftsmodell,119,0,0,86,11,2,1,3,0,15,1
Entrepreneurship,118,0,0,29,66,1,5,1,0,14,2
Kulturelle Identität,118,0,0,43,42,4,7,1,4,12,5
Bibliothek,118,0,0,64,34,5,3,4,2,6,0
Entwicklungspolitik,117,0,47,32,21,4,1,1,1,6,4
Chemie,117,0,0,57,48,0,2,4,3,2,1
Online-Ressource,117,0,1,8,12,1,0,0,0,48,47
Geldpolitik,117,0,28,20,47,1,10,0,2,8,1
Zweiter Weltkrieg,116,0,0,55,27,9,4,6,5,10,0
Kooperation,116,0,0,54,15,14,2,1,0,27,3
Simulation,116,0,0,16,37,0,11,0,4,36,12
Corporate Social Responsibility,116,0,0,56,35,1,2,0,0,18,4
Soziologische Theorie,116,0,0,86,11,2,1,3,0,13,0
Kraftfahrzeugindustrie,115,0,0,56,12,3,0,1,3,36,4
Antisemitismus,115,0,0,72,12,5,7,5,0,11,3
Lyrik,115,0,0,55,45,1,2,0,1,9,2
Arbeitswelt,115,0,0,77,13,2,2,4,2,12,3
Erster Weltkrieg,115,0,0,56,29,9,5,7,2,6,1
Kulturkontakt,114,0,0,42,38,10,5,2,2,12,3
Medienpädagogik,114,0,0,75,15,6,1,3,0,13,1
Studium,114,0,0,79,12,7,0,5,0,9,2
Lebensmittel,114,0,0,34,57,1,3,3,2,8,6
Software Engineering,113,0,0,25,53,1,24,0,5,5,0
Energiepolitik,113,0,0,56,32,4,1,1,0,14,5
Völkerrecht,113,0,0,34,15,3,5,1,1,46,8
Kundenmanagement,112,0,0,72,13,1,0,0,1,23,2
Nanostruktur,112,0,0,0,70,0,11,0,4,12,15
Geschlechtsunterschied,112,0,0,63,20,8,0,1,0,16,4
Nanotechnologie,112,0,0,6,67,0,20,2,6,9,2
Nanopartikel,111,0,0,2,47,0,8,0,3,23,28
Terrorismus,111,0,0,43,34,5,5,2,2,15,5
Politischer Wandel,111,0,0,66,27,5,1,2,2,6,2
Architekturtheorie,110,0,0,29,65,3,1,0,2,9,1
Auswirkung,110,0,0,63,24,8,3,3,1,5,3
Fundamentalismus,110,0,0,67,20,1,1,4,6,9,2
Neuronales Netz,110,0,1,10,65,0,19,0,2,5,8
Soziale Situation,110,0,1,44,38,4,1,2,5,11,4
Gewalttätigkeit,110,0,0,67,22,5,1,1,3,11,0
Computerspiel,110,0,0,31,63,0,4,2,0,7,3
Krieg,110,0,0,35,36,10,6,2,3,18,0
Linguistik,110,0,0,38,50,3,6,3,3,4,3
Wirtschaftsinformatik,110,0,28,47,26,1,0,2,2,4,0
Kindertagesstätte,109,0,0,88,2,1,0,4,0,13,1
Dissertation,109,0,0,2,3,0,0,0,0,89,15
Bekämpfung,108,0,0,37,28,6,6,1,2,24,4
Interkulturalität,108,0,0,51,18,15,4,2,0,15,3
Finanzkrise,108,0,0,35,53,1,9,2,0,6,2
Polymere,108,0,0,5,68,0,3,0,6,8,18
Geschlechterverhältnis,108,0,0,49,23,9,4,0,2,20,1
Deep learning,107,0,1,9,56,1,32,0,1,5,2
Hochschulschrift,107,0,0,0,0,0,0,0,0,92,15
Einwanderer,107,0,0,50,22,7,1,3,0,20,4
Dienstleistung,107,0,0,60,15,10,1,2,0,16,3
Raum,107,0,0,30,36,11,9,2,0,14,5
Information Retrieval,107,0,0,11,35,1,50,0,2,7,1
Evaluation,106,0,0,53,28,8,0,4,3,10,0
Kreativität,105,0,0,51,31,8,0,2,1,12,0
Technik,105,0,0,49,34,7,4,3,0,8,0
Politische Theorie,105,0,0,55,24,1,4,2,0,16,3
Sekundarstufe 1,104,0,0,72,0,0,0,11,0,21,0
Digitale Revolution,104,0,0,57,25,8,3,1,0,7,3
Inklusive Pädagogik,104,0,0,67,9,9,0,4,0,14,1
Corporate Governance,104,0,4,32,43,1,1,0,1,21,1
Wirtschaftsmathematik,104,0,17,69,13,1,1,3,0,0,0
Informationsmanagement,103,0,0,58,20,0,9,1,0,10,5
Bildgebendes Verfahren,103,0,0,7,50,8,20,0,1,6,11
Bildungsforschung,103,0,0,62,16,12,0,1,0,12,0
Multikulturelle Gesellschaft,103,0,0,50,25,8,3,3,1,11,2
Schriftsteller,103,0,0,79,10,2,0,8,0,3,1
Technischer Fortschritt,103,0,19,30,45,2,2,2,0,2,1
Widerstand,102,0,0,68,14,6,1,2,0,9,2
Raumordnung,102,0,0,36,26,18,3,5,0,7,7
Diskursanalyse,102,0,0,30,38,4,2,0,2,24,2
Sicherheitspolitik,102,0,0,45,27,5,5,2,0,15,3
Antike,102,0,0,45,30,8,10,1,0,4,4
Zeitschrift,102,0,89,3,6,1,1,0,0,2,0
Sozioökonomischer Wandel,102,0,0,63,24,4,2,2,1,6,0
Java,101,0,0,43,51,0,0,5,1,1,0
Psychisches Trauma,101,0,0,72,8,10,0,2,1,5,3
Verfassungsrecht,101,0,0,22,13,12,3,1,0,43,7
Aufsatzsammlung,101,0,0,30,58,3,4,4,2,0,0
Politische Kultur,101,0,0,53,21,7,0,2,2,11,5
Makroökonomie,101,0,31,27,36,0,2,2,2,1,0
Klimaschutz,101,0,0,51,22,4,0,6,1,12,5
Strukturwandel,100,0,0,50,22,12,1,2,3,9,1
Governance,100,0,0,37,31,4,4,0,0,22,2
Krankenhaus,100,0,0,56,8,0,0,0,0,30,6
Medizin,100,0,0,34,27,14,12,0,2,9,2
Regionalentwicklung,100,0,0,37,40,9,5,0,0,7,2
Entscheidungsfindung,100,0,0,29,27,2,11,1,1,21,8
Bürgerbeteiligung,99,0,0,38,25,5,1,2,3,19,6
Diskurs,99,0,0,38,18,2,3,1,0,28,9
Fotografie,99,0,0,32,43,4,3,0,1,12,4
Politische Bildung,99,0,0,73,2,8,0,3,0,12,1
Mensch,98,0,0,58,18,4,3,3,2,8,2
Finanzmathematik,98,0,0,41,43,0,5,2,2,1,4
Change Management,98,0,0,79,6,5,0,0,0,8,0
Erziehung,97,0,0,69,18,3,1,0,0,4,2
Öffentlicher Raum,97,0,0,26,50,4,3,0,3,10,1
Betriebswirtschaftslehre,97,0,0,86,3,2,1,3,0,1,1
Industrie 4.0,97,0,0,63,14,2,5,2,0,8,3
Mehrsprachigkeit,95,0,0,31,41,5,5,1,1,9,2
Gesundheitsförderung,95,0,0,69,3,6,0,1,1,14,1
Mathematische Physik,95,0,0,10,69,0,14,0,1,0,1
Internationale Kooperation,95,0,0,22,50,7,0,0,2,11,3
