Subject,Overall Frequency,Article-de,Article-en,Book-de,Book-en,Conference-de,Conference-en,Report-de,Report-en,Thesis-de,Thesis-en
Architektur,994,0,0,271,508,60,56,15,17,55,12
Digitalisierung,581,1,0,381,88,28,11,10,1,54,7
Nachhaltigkeit,570,0,0,194,274,9,29,15,8,30,11
Stadtplanung,438,0,0,77,282,18,23,7,10,12,9
Künstliche Intelligenz,408,1,1,121,174,5,68,7,9,9,13
Statistik,402,0,0,162,176,1,28,18,6,3,8
Mathematik,390,0,1,217,109,2,20,27,7,5,2
Maschinelles Lernen,387,0,0,23,214,0,112,1,3,20,14
Stadtentwicklung,353,0,0,113,169,18,15,6,6,21,5
Unternehmen,349,0,0,242,46,4,3,10,1,40,3
Klimaänderung,328,0,7,95,147,1,22,6,4,25,21
Internet,328,0,0,155,70,5,28,17,5,42,6
Internationaler Vergleich,287,0,0,86,149,4,13,3,7,22,3
Stadt,280,0,0,91,128,13,13,3,6,17,9
Zukunft,272,1,54,155,33,14,3,8,1,3,0
Informationstechnik,271,0,0,136,81,7,9,11,11,12,4
Physik,270,0,0,127,121,0,7,8,3,3,1
Datenanalyse,239,0,0,68,114,1,28,4,2,9,13
Methode,236,0,0,108,97,7,6,7,1,9,1
Computersicherheit,228,0,1,45,129,3,32,2,10,4,2
Mathematisches Modell,224,0,0,20,160,0,16,0,4,13,11
Gesellschaft,222,0,0,130,54,10,7,2,1,16,2
Softwareentwicklung,219,0,0,65,83,0,43,2,11,11,4
Computersimulation,216,1,31,11,84,0,15,0,7,21,46
Innovation,214,0,1,71,91,3,3,3,4,29,9
Big Data,200,0,0,32,114,3,35,1,2,8,5
Städtebau,199,0,0,73,87,12,8,5,4,10,0
Prävention,197,0,0,120,28,5,1,6,2,33,2
Data Mining,193,0,0,10,98,1,71,2,3,4,4
Erneuerbare Energien,191,2,0,74,60,6,11,8,3,20,7
Programmierung,190,0,0,72,88,0,18,6,2,2,2
Entwicklung,185,0,30,101,27,4,2,5,1,14,1
Informatik,181,0,0,53,105,1,14,3,1,2,2
Python,179,0,0,32,144,0,0,3,0,0,0
Optimierung,176,0,0,27,91,0,33,2,4,10,9
Mensch-Maschine-Kommunikation,175,0,3,34,50,2,55,1,4,18,8
Cloud Computing,170,0,0,17,110,1,24,3,2,10,3
Social Media,165,0,1,64,61,2,9,0,1,23,4
Modellierung,165,0,0,24,66,1,12,0,0,38,24
Numerisches Verfahren,162,0,0,19,93,0,21,0,6,9,14
Neue Medien,162,0,0,82,47,7,4,3,4,14,1
Quantenmechanik,161,0,0,30,120,0,7,2,0,0,2
Bildverarbeitung,160,0,0,10,82,5,45,2,4,7,5
Informationsgesellschaft,160,0,0,92,36,11,1,5,4,11,0
Umweltschutz,158,0,0,66,61,3,6,4,4,11,3
Strömungsmechanik,157,0,0,48,79,0,14,2,3,8,3
Kryptologie,156,0,0,24,45,0,69,4,4,5,5
Algorithmus,154,0,0,44,65,1,23,1,3,8,9
R,154,0,0,33,112,0,1,6,1,0,1
