Subject,Overall Frequency,Article-de,Article-en,Book-de,Book-en,Conference-de,Conference-en,Report-de,Report-en,Thesis-de,Thesis-en
Literatur,1064,0,0,354,476,54,51,2,15,84,28
Architektur,955,0,0,233,501,61,53,18,19,53,17
Unternehmen,893,0,0,610,108,17,7,14,5,127,5
Nachhaltigkeit,783,0,0,316,325,19,32,16,6,55,14
Digitalisierung,733,1,0,478,114,39,13,10,1,67,10
Deutsch,731,0,0,458,52,51,15,17,1,114,23
Kind,536,0,0,374,70,14,7,19,2,44,6
Stadtplanung,534,0,0,101,336,24,23,8,17,13,12
Englisch,531,0,0,72,375,5,18,0,12,15,34
Maschinelles Lernen,487,0,2,29,258,0,146,1,3,29,19
Politik,469,0,0,215,157,22,13,7,11,36,8
Künstliche Intelligenz,464,1,1,140,194,10,75,2,12,13,16
Kultur,456,0,0,262,108,28,20,8,6,18,6
Management,446,0,0,295,105,7,8,5,2,21,3
Gesellschaft,443,0,0,248,106,24,15,9,8,26,7
Globalisierung,441,0,0,153,187,22,30,8,13,24,4
Stadtentwicklung,428,0,0,137,200,24,15,8,8,28,8
Internet,420,0,0,189,98,11,37,19,5,53,8
Statistik,406,0,0,147,193,1,34,14,5,4,8
Klimaänderung,402,0,8,112,181,1,24,8,7,31,30
Jugend,393,0,0,266,28,15,0,13,2,64,5
Rezeption,381,0,0,106,109,43,14,1,5,81,22
Philosophie,376,1,0,197,114,17,11,5,3,25,3
Frau,373,0,0,175,118,16,7,12,8,28,9
Internationaler Vergleich,369,0,0,112,192,6,17,4,8,27,3
Demokratie,357,0,0,190,78,23,8,6,3,35,14
Strategisches Management,347,0,0,241,47,9,0,1,2,47,0
Stadt,347,0,0,117,161,13,16,3,7,18,12
Zukunft,343,1,76,189,39,17,4,11,1,4,1
Islam,342,0,0,148,97,27,11,8,12,26,13
Religion,337,0,0,134,117,31,19,5,10,14,7
Wirtschaftspolitik,331,0,86,84,124,9,12,2,6,7,1
Soziologie,328,0,0,193,74,10,0,6,6,33,6
Kommunikation,325,0,0,176,51,19,4,3,3,59,10
Informationstechnik,316,0,0,155,100,7,12,10,12,16,4
Mathematik,308,0,0,143,110,3,20,17,6,7,2
Methode,301,0,0,143,118,7,6,9,2,13,3
Wirtschaft,299,0,59,90,119,10,5,3,2,8,3
Wirtschaftsentwicklung,293,0,28,66,156,7,16,2,6,8,4
Mathematisches Modell,286,0,0,19,215,0,22,0,6,13,11
Computersicherheit,286,0,1,60,151,3,45,4,11,8,3
Computersimulation,280,1,41,16,102,0,20,0,8,30,62
Recht,272,0,10,126,49,20,9,6,0,43,9
Theorie,271,0,19,142,60,6,4,5,2,30,3
Innovation,269,0,1,84,118,4,3,3,5,42,9
Neue Medien,269,0,0,128,85,17,9,2,3,25,0
Sozialarbeit,260,0,0,201,5,15,1,10,0,28,0
Big Data,259,0,0,42,149,3,43,2,2,11,7
Softwareentwicklung,259,0,0,73,102,0,51,2,11,14,6
Prävention,258,0,0,155,41,9,1,6,2,42,2
Hochschule,255,0,0,125,41,35,2,4,0,45,3
