Subject,Overall Frequency,Article-de,Article-en,Book-de,Book-en,Conference-de,Conference-en,Report-de,Report-en,Thesis-de,Thesis-en
Architektur,723,0,0,179,374,49,45,12,15,40,9
Digitalisierung,573,1,0,379,84,28,11,9,1,53,7
Stadtplanung,409,0,0,72,262,18,21,7,10,10,9
Künstliche Intelligenz,364,1,1,110,158,5,56,2,9,9,13
Maschinelles Lernen,362,0,0,21,196,0,107,1,3,20,14
Stadtentwicklung,334,0,0,111,154,18,14,6,6,21,4
Internet,319,0,0,148,70,5,28,15,5,42,6
Statistik,314,0,0,110,150,1,25,12,5,3,8
Klimaänderung,302,0,7,87,134,1,18,6,4,24,21
Internationaler Vergleich,284,0,0,84,148,4,13,3,7,22,3
Stadt,265,0,0,85,123,11,12,3,6,16,9
Zukunft,264,1,54,147,33,14,3,8,1,3,0
Informationstechnik,258,0,0,127,79,7,9,10,10,12,4
Mathematik,242,0,0,109,86,2,16,16,6,5,2
Methode,236,0,0,108,97,7,6,7,1,9,1
Mathematisches Modell,218,0,0,18,157,0,15,0,4,13,11
Computersimulation,213,1,31,11,82,0,14,0,7,21,46
Innovation,208,0,1,70,89,3,3,3,4,28,7
Softwareentwicklung,207,0,0,62,78,0,41,2,9,11,4
Computersicherheit,206,0,1,42,113,3,29,2,10,4,2
Prävention,197,0,0,120,28,5,1,6,2,33,2
Big Data,196,0,0,31,111,3,35,1,2,8,5
Städtebau,190,0,0,69,83,12,8,4,4,10,0
Entwicklung,182,0,30,101,24,4,2,5,1,14,1
Programmierung,181,0,0,70,82,0,18,6,1,2,2
Erneuerbare Energien,173,0,0,70,53,6,8,6,3,20,7
Modellierung,164,0,0,24,66,1,12,0,0,38,23
Social Media,161,0,1,63,58,2,9,0,1,23,4
Numerisches Verfahren,161,0,0,19,93,0,21,0,6,9,13
Physik,159,0,0,47,100,0,4,3,3,2,0
Mensch-Maschine-Kommunikation,159,0,3,33,40,2,51,1,3,18,8
Umweltschutz,156,0,0,65,60,3,6,4,4,11,3
Informatik,155,0,0,31,103,1,12,3,1,2,2
Informationsgesellschaft,154,0,0,87,36,11,1,5,4,10,0
Optimierung,153,0,0,20,77,0,31,2,4,10,9
Bildverarbeitung,149,0,0,8,74,5,45,2,3,7,5
Algorithmus,147,0,0,41,63,1,22,1,2,8,9
Cloud Computing,144,0,0,16,89,1,21,3,1,10,3
Python Programmiersprache,138,0,0,25,111,0,0,2,0,0,0
Nanostrukturiertes Material,138,0,0,1,98,0,16,0,2,12,9
R Programm,135,0,0,30,97,0,1,6,0,0,1
Naturwissenschaften,134,0,0,59,50,7,8,2,2,5,1
Datensicherung,133,0,0,36,40,4,43,3,1,2,4
Simulation,132,1,1,20,43,1,9,0,7,39,11
Experiment,131,0,66,28,21,1,1,2,1,11,0
Finite-Elemente-Methode,131,0,2,17,58,0,4,1,2,23,24
Reform,123,0,0,53,29,7,4,1,3,23,3
Dynamisches System,120,0,0,12,82,0,18,1,0,3,4
MATLAB,118,0,0,26,83,0,0,2,2,4,1
Partielle Differentialgleichung,115,0,0,3,78,0,28,0,0,1,5
Kryptologie,112,0,0,11,38,0,52,2,3,4,2
Auswirkung,111,0,0,64,26,9,2,2,0,6,2
Krise,111,0,0,76,13,10,4,1,0,6,1
Biotechnologie,109,0,0,17,66,2,7,2,4,5,6
Nanotechnologie,108,0,0,4,74,0,16,0,2,9,3
Aufsatzsammlung,108,0,0,24,68,3,7,3,3,0,0
Technik,106,1,1,55,30,5,5,3,1,5,0
Systemtheorie,105,0,0,58,17,4,4,1,2,18,1
Lebensmittel,105,0,0,38,48,2,2,5,3,4,3
Innenarchitektur,104,0,0,37,51,4,1,8,3,0,0
Neuronales Netz,103,0,0,12,50,0,18,1,0,10,12
Software Engineering,102,0,0,24,43,0,22,1,4,4,4
Klimaschutz,102,0,0,60,14,4,0,6,1,14,3
Deep learning,102,0,0,6,54,0,31,1,1,7,2
Quantenmechanik,101,0,0,11,81,0,6,1,0,0,2
Bekämpfung,99,0,0,46,20,3,3,1,2,21,3
World Wide Web,99,0,0,24,28,0,37,4,1,3,2
Nanostruktur,99,0,0,1,59,0,6,0,6,11,16
Nanopartikel,98,0,0,2,36,0,6,1,3,21,29
Architekturtheorie,97,0,0,30,47,5,2,0,2,9,2
Datenverarbeitung,96,0,20,11,44,2,10,2,0,2,5
Mustererkennung,96,0,0,5,33,0,48,0,2,2,6
Rechnernetz,95,0,0,24,42,1,19,2,5,2,0
Strömungsmechanik,94,0,0,13,58,0,11,1,2,6,3
Öffentlicher Raum,93,0,0,33,40,4,4,0,0,12,0
Analysis,89,0,0,53,28,0,4,1,0,2,1
Verteiltes System,88,0,1,10,21,1,45,1,3,4,2
Polymere,88,0,0,4,57,0,3,0,6,6,12
